Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
348,Serge Ibaka\ibakase01,PF,32,MIL,15,1,18.7,2.8,5.7,.488,0.7,2.1,.323,2.1,3.7,.582,.547,0.7,0.9,.786,1.1,4.2,5.3,0.5,0.2,0.5,0.5,2.2,7.0
349,Andre Iguodala\iguodan01,SF,38,GSW,26,0,19.9,1.5,3.9,.392,0.5,2.3,.230,1.0,1.6,.634,.461,0.5,0.6,.813,0.7,2.6,3.3,3.8,0.8,0.8,0.9,1.0,4.1
350,Joe Ingles\inglejo01,SF,34,UTA,45,15,24.9,2.6,6.3,.404,1.7,5.0,.347,0.8,1.3,.617,.540,0.4,0.5,.773,0.3,2.6,2.9,3.5,0.5,0.1,1.0,1.8,7.2
351,Brandon Ingram\ingrabr01,SF,24,NOP,50,50,34.2,8.4,18.2,.462,1.4,4.3,.335,7.0,13.9,.501,.502,4.5,5.5,.816,0.7,5.0,5.7,5.5,0.6,0.5,2.7,2.2,22.8
352,Kyrie Irving\irvinky01,PG,29,BRK,19,19,36.1,10.1,20.6,.490,3.2,7.5,.430,6.9,13.2,.524,.568,4.3,4.8,.901,0.6,4.1,4.7,5.3,1.4,0.7,2.3,2.6,27.7
353,Wes Iwundu\iwundwe01,SF,27,ATL,3,1,27.3,2.7,6.0,.444,1.0,1.7,.600,1.7,4.3,.385,.528,1.0,1.3,.750,1.0,3.3,4.3,0.0,0.3,0.0,0.3,2.7,7.3
354,Frank Jackson\jacksfr01,PG,23,DET,44,5,22.3,3.8,9.2,.409,1.8,5.5,.320,2.0,3.8,.539,.504,1.4,1.8,.795,0.3,1.3,1.6,1.0,0.5,0.2,0.8,1.8,10.7
355,Isaiah Jackson\jacksis01,PF,20,IND,30,12,13.6,3.0,5.4,.559,0.1,0.4,.308,2.9,4.9,.581,.571,1.6,2.4,.653,1.7,2.5,4.2,0.3,0.5,1.4,1.0,2.5,7.7
356,Jaren Jackson Jr.\jacksja02,PF,22,MEM,71,71,27.3,5.6,13.3,.419,1.6,5.1,.320,3.9,8.2,.480,.480,3.6,4.4,.813,1.6,4.3,5.9,1.1,1.0,2.2,1.7,3.5,16.4
357,Josh Jackson\jacksjo02,SF,24,TOT,45,3,16.1,2.3,5.8,.400,0.7,2.6,.254,1.6,3.2,.521,.458,0.9,1.3,.724,0.4,2.4,2.8,1.1,0.5,0.4,0.9,1.7,6.2
358,Josh Jackson\jacksjo02,SF,24,DET,39,3,18.1,2.6,6.4,.410,0.8,2.9,.265,1.9,3.5,.529,.470,1.0,1.4,.714,0.4,2.7,3.2,1.3,0.5,0.5,1.0,1.8,7.1
359,Josh Jackson\jacksjo02,SF,24,SAC,6,0,3.2,0.2,1.5,.111,0.0,0.8,.000,0.2,0.7,.250,.111,0.3,0.3,1.000,0.0,0.3,0.3,0.2,0.2,0.2,0.5,0.7,0.7
360,Justin Jackson\jacksju01,SF,26,TOT,7,0,5.3,0.7,2.1,.333,0.4,1.3,.333,0.3,0.9,.333,.433,0.3,0.3,1.000,0.1,0.9,1.0,0.3,0.0,0.0,0.1,0.4,2.1
361,Justin Jackson\jacksju01,SF,26,BOS,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
362,Justin Jackson\jacksju01,SF,26,PHO,6,0,5.8,0.8,2.3,.357,0.5,1.5,.333,0.3,0.8,.400,.464,0.0,0.0,,0.2,1.0,1.2,0.3,0.0,0.0,0.2,0.5,2.2
363,Reggie Jackson\jacksre01,SG,31,LAC,69,69,31.1,6.4,16.3,.394,2.3,6.8,.333,4.1,9.4,.439,.464,1.8,2.2,.834,0.6,3.2,3.7,4.8,0.7,0.2,2.3,2.0,16.9
364,LeBron James\jamesle01,SF,37,LAL,54,54,37.1,11.4,21.7,.523,2.8,7.9,.354,8.6,13.8,.621,.588,4.5,5.9,.758,1.1,7.0,8.2,6.3,1.3,1.1,3.4,2.2,30.0
365,DeJon Jarreau\jarrede01,SG,24,IND,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,DaQuan Jeffries\jeffrda01,SG,24,MEM,3,0,3.0,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,0.7
367,Ty Jerome\jeromty01,SG,24,OKC,48,4,16.7,2.6,6.8,.378,1.1,3.9,.290,1.5,3.0,.493,.460,0.8,1.0,.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,1.5,7.1
368,Isaiah Joe\joeis01,SG,22,PHI,50,1,11.2,1.1,3.2,.346,0.8,2.5,.325,0.3,0.7,.417,.472,0.5,0.5,.923,0.1,0.9,1.0,0.6,0.2,0.1,0.3,0.9,3.5
369,Alize Johnson\johnsal02,PF,25,TOT,23,0,7.3,0.7,1.7,.436,0.0,0.2,.000,0.7,1.5,.486,.436,0.3,0.5,.583,1.2,1.4,2.7,0.4,0.2,0.0,0.5,0.8,1.8
370,Alize Johnson\johnsal02,PF,25,CHI,16,0,7.6,0.8,1.4,.522,0.0,0.1,.000,0.8,1.3,.571,.522,0.3,0.4,.571,1.0,1.3,2.3,0.5,0.2,0.0,0.5,0.9,1.8
371,Alize Johnson\johnsal02,PF,25,WAS,3,0,6.0,0.7,2.0,.333,0.0,0.7,.000,0.7,1.3,.500,.333,0.0,0.3,.000,1.7,2.3,4.0,0.0,0.0,0.0,1.0,0.0,1.3
372,Alize Johnson\johnsal02,PF,25,NOP,4,0,7.0,0.8,2.5,.300,0.0,0.0,,0.8,2.5,.300,.300,0.8,1.0,.750,1.8,1.5,3.3,0.3,0.5,0.0,0.3,0.8,2.3
373,B.J. Johnson\johnsbj01,SF,26,ORL,4,0,16.3,2.8,6.3,.440,1.0,2.5,.400,1.8,3.8,.467,.520,0.0,0.0,,1.5,2.3,3.8,0.0,0.0,0.3,0.0,1.0,6.5
374,Cameron Johnson\johnsca02,PF,25,PHO,60,13,26.3,4.4,9.2,.475,2.7,5.9,.448,1.7,3.2,.526,.620,1.5,1.7,.873,0.6,3.5,4.1,1.5,0.8,0.2,0.6,1.7,12.8
375,David Johnson\johnsda08,SG,20,TOR,2,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
